family,n_seeds,seeds,mean_combined_loss,std_combined_loss,mean_high_acc_top1,std_high_acc_top1,mean_low_acc_top1,std_low_acc_top1,mean_si_sdr_db_gap_only,std_si_sdr_db_gap_only
songs17_data_scaling,3,"42,43,44",4.956888993581136,0.05678700100332963,0.026909722636143368,0.020459531010598445,0.160915806889534,0.03658213367927957,-4.48542046546936,2.9612753063591244
regularization_ablation,3,"42,43,44",4.9996029535929365,0.01674257936403831,0.016059027674297493,0.005715958144295057,0.13237847884496054,0.01908211731779308,-8.414841492970785,1.2354639938387821
