experiment,run,checkpoint,step,band,mask_len,method,metric,value
exp01_gap_length_activity_sweep,phase1_songs17,best_val,950000,low_activity,1,model,si_sdr_db,15.724873334913617
exp01_gap_length_activity_sweep,phase1_songs17,best_val,950000,low_activity,1,model,si_sdr_db_gap_only,1.815059209517082
exp01_gap_length_activity_sweep,phase1_songs17,best_val,950000,low_activity,1,model,spectral_convergence,0.11704251077026129
exp01_gap_length_activity_sweep,phase1_songs17,best_val,950000,low_activity,1,model,spectral_convergence_gap_only,0.6004128865897655
exp01_gap_length_activity_sweep,phase1_songs17,best_val,950000,low_activity,2,model,loss,3.160465717315674
exp01_gap_length_activity_sweep,phase1_songs17,best_val,950000,low_activity,2,model,nll,3.160465717315674
exp01_gap_length_activity_sweep,phase1_songs17,best_val,950000,low_activity,2,model,ppl,23.58157572027403
exp01_gap_length_activity_sweep,phase1_songs17,best_val,950000,low_activity,2,model,acc_top1,0.1796875
exp01_gap_length_activity_sweep,phase1_songs17,best_val,950000,low_activity,2,model,acc_top5,0.4453125
exp01_gap_length_activity_sweep,phase1_songs17,best_val,950000,low_activity,2,model,si_sdr_db,14.03048730016196
exp01_gap_length_activity_sweep,phase1_songs17,best_val,950000,low_activity,2,model,si_sdr_db_gap_only,4.653663360916127
exp01_gap_length_activity_sweep,phase1_songs17,best_val,950000,low_activity,2,model,spectral_convergence,0.1404615556821227
exp01_gap_length_activity_sweep,phase1_songs17,best_val,950000,low_activity,2,model,spectral_convergence_gap_only,0.4334486424922943
exp01_gap_length_activity_sweep,phase1_songs17,best_val,950000,low_activity,4,model,loss,2.9440956115722656
exp01_gap_length_activity_sweep,phase1_songs17,best_val,950000,low_activity,4,model,nll,2.9440956115722656
exp01_gap_length_activity_sweep,phase1_songs17,best_val,950000,low_activity,4,model,ppl,18.993477135644888
exp01_gap_length_activity_sweep,phase1_songs17,best_val,950000,low_activity,4,model,acc_top1,0.16796875
exp01_gap_length_activity_sweep,phase1_songs17,best_val,950000,low_activity,4,model,acc_top5,0.5859375
exp01_gap_length_activity_sweep,phase1_songs17,best_val,950000,low_activity,4,model,si_sdr_db,8.956046635770727
exp01_gap_length_activity_sweep,phase1_songs17,best_val,950000,low_activity,4,model,si_sdr_db_gap_only,-1.625853257402054
exp01_gap_length_activity_sweep,phase1_songs17,best_val,950000,low_activity,4,model,spectral_convergence,0.21887875627726316
exp01_gap_length_activity_sweep,phase1_songs17,best_val,950000,low_activity,4,model,spectral_convergence_gap_only,0.5790306851267815
exp01_gap_length_activity_sweep,phase1_songs17,best_val,950000,low_activity,8,model,loss,2.9118120670318604
exp01_gap_length_activity_sweep,phase1_songs17,best_val,950000,low_activity,8,model,nll,2.9118120670318604
exp01_gap_length_activity_sweep,phase1_songs17,best_val,950000,low_activity,8,model,ppl,18.390092472795942
exp01_gap_length_activity_sweep,phase1_songs17,best_val,950000,low_activity,8,model,acc_top1,0.18359375
exp01_gap_length_activity_sweep,phase1_songs17,best_val,950000,low_activity,8,model,acc_top5,0.564453125
exp01_gap_length_activity_sweep,phase1_songs17,best_val,950000,low_activity,8,model,si_sdr_db,6.306151704196623
exp01_gap_length_activity_sweep,phase1_songs17,best_val,950000,low_activity,8,model,si_sdr_db_gap_only,-9.702776473553294
exp01_gap_length_activity_sweep,phase1_songs17,best_val,950000,low_activity,8,model,spectral_convergence,0.299178714863956
exp01_gap_length_activity_sweep,phase1_songs17,best_val,950000,low_activity,8,model,spectral_convergence_gap_only,0.8517417572438717
exp01_gap_length_activity_sweep,phase1_songs17,best_val,950000,low_activity,16,model,loss,3.7184319496154785
exp01_gap_length_activity_sweep,phase1_songs17,best_val,950000,low_activity,16,model,nll,3.7184319496154785
exp01_gap_length_activity_sweep,phase1_songs17,best_val,950000,low_activity,16,model,ppl,41.199740163131274
exp01_gap_length_activity_sweep,phase1_songs17,best_val,950000,low_activity,16,model,acc_top1,0.130859375
exp01_gap_length_activity_sweep,phase1_songs17,best_val,950000,low_activity,16,model,acc_top5,0.423828125
exp01_gap_length_activity_sweep,phase1_songs17,best_val,950000,low_activity,16,model,si_sdr_db,1.8772177859284327
exp01_gap_length_activity_sweep,phase1_songs17,best_val,950000,low_activity,16,model,si_sdr_db_gap_only,-19.758186554685317
exp01_gap_length_activity_sweep,phase1_songs17,best_val,950000,low_activity,16,model,spectral_convergence,0.45834479853510857
exp01_gap_length_activity_sweep,phase1_songs17,best_val,950000,low_activity,16,model,spectral_convergence_gap_only,0.8345200642943382
exp01_gap_length_activity_sweep,phase2_regularization,best_val,25000,high_activity,1,model,loss,6.484710693359375
exp01_gap_length_activity_sweep,phase2_regularization,best_val,25000,high_activity,1,model,nll,6.484710693359375
exp01_gap_length_activity_sweep,phase2_regularization,best_val,25000,high_activity,1,model,ppl,655.0494266740893
