run,num_songs,total_minutes,model_params_m,best_val_step,best_combined_loss,best_high_acc_top1,best_low_acc_top1,stop_step,stop_reason,runtime_seconds
phase1_songs01,1,6.670319444444445,11.840767860412598,10000,5.139791011810303,0.007486979477107525,0.0843098983168602,100000,completed,6399
phase1_songs04,4,20.575844444444446,11.840767860412598,10000,5.066596508026123,0.0071614584885537624,0.091796875,300000,completed,18621
phase1_songs17,17,75.27260277777778,11.840767860412598,950000,4.8694682121276855,0.0611979179084301,0.1656901091337204,1000000,completed,61994
