run,category,tag,step,wall_time_utc,value
phase1_songs01,training_aggregate,train/avg_acc_top1,41000,2026-09-08T09:21:06.990547Z,0.4086011052
phase1_songs01,training_aggregate,train/avg_acc_top1,42000,2026-09-08T09:22:11.263047Z,0.4163441658
phase1_songs01,training_aggregate,train/avg_acc_top1,43000,2026-09-08T09:23:10.526484Z,0.4310948849
phase1_songs01,training_aggregate,train/avg_acc_top1,44000,2026-09-08T09:24:12.742465Z,0.4459758401
phase1_songs01,training_aggregate,train/avg_acc_top1,45000,2026-09-08T09:25:16.516156Z,0.4575596154
phase1_songs01,training_aggregate,train/avg_acc_top1,46000,2026-09-08T09:26:19.220166Z,0.4698877633
phase1_songs01,training_aggregate,train/avg_acc_top1,47000,2026-09-08T09:27:22.970933Z,0.48368752
phase1_songs01,training_aggregate,train/avg_acc_top1,48000,2026-09-08T09:28:26.522962Z,0.4944739342
phase1_songs01,training_aggregate,train/avg_acc_top1,49000,2026-09-08T09:29:28.073283Z,0.4985888302
phase1_songs01,training_aggregate,train/avg_acc_top1,50000,2026-09-08T09:30:29.244988Z,0.51205796
phase1_songs01,training_aggregate,train/avg_acc_top1,51000,2026-09-08T09:32:00.370136Z,0.5222147107
phase1_songs01,training_aggregate,train/avg_acc_top1,52000,2026-09-08T09:33:00.436786Z,0.5316673517
phase1_songs01,training_aggregate,train/avg_acc_top1,53000,2026-09-08T09:34:00.908460Z,0.5380854011
phase1_songs01,training_aggregate,train/avg_acc_top1,54000,2026-09-08T09:35:05.145722Z,0.5461660028
phase1_songs01,training_aggregate,train/avg_acc_top1,55000,2026-09-08T09:36:07.029189Z,0.5585756302
phase1_songs01,training_aggregate,train/avg_acc_top1,56000,2026-09-08T09:37:09.732747Z,0.5660318732
phase1_songs01,training_aggregate,train/avg_acc_top1,57000,2026-09-08T09:38:09.750149Z,0.5755067468
phase1_songs01,training_aggregate,train/avg_acc_top1,58000,2026-09-08T09:39:10.703637Z,0.5839836597
phase1_songs01,training_aggregate,train/avg_acc_top1,59000,2026-09-08T09:40:12.642364Z,0.5924289227
phase1_songs01,training_aggregate,train/avg_acc_top1,60000,2026-09-08T09:41:14.952708Z,0.5983426571
phase1_songs01,training_aggregate,train/avg_acc_top1,61000,2026-09-08T09:42:28.735300Z,0.6065056324
phase1_songs01,training_aggregate,train/avg_acc_top1,62000,2026-09-08T09:43:29.480940Z,0.6116350293
phase1_songs01,training_aggregate,train/avg_acc_top1,63000,2026-09-08T09:44:32.154279Z,0.6180538535
phase1_songs01,training_aggregate,train/avg_acc_top1,64000,2026-09-08T09:45:35.816943Z,0.6249377131
phase1_songs01,training_aggregate,train/avg_acc_top1,65000,2026-09-08T09:46:36.860484Z,0.6306144595
phase1_songs01,training_aggregate,train/avg_acc_top1,66000,2026-09-08T09:47:41.103073Z,0.6327860951
phase1_songs01,training_aggregate,train/avg_acc_top1,67000,2026-09-08T09:48:43.814496Z,0.6404768825
phase1_songs01,training_aggregate,train/avg_acc_top1,68000,2026-09-08T09:49:47.583242Z,0.647464335
phase1_songs01,training_aggregate,train/avg_acc_top1,69000,2026-09-08T09:50:50.334990Z,0.6525679231
phase1_songs01,training_aggregate,train/avg_acc_top1,70000,2026-09-08T09:51:55.714572Z,0.653967917
phase1_songs01,training_aggregate,train/avg_acc_top5,1000,2026-09-08T08:38:55.470823Z,0.01820419729
phase1_songs01,training_aggregate,train/avg_acc_top5,2000,2026-09-08T08:39:51.101722Z,0.04947143048
phase1_songs01,training_aggregate,train/avg_acc_top5,3000,2026-09-08T08:40:49.085499Z,0.07208219916
phase1_songs01,training_aggregate,train/avg_acc_top5,4000,2026-09-08T08:41:45.113479Z,0.09459124506
phase1_songs01,training_aggregate,train/avg_acc_top5,5000,2026-09-08T08:42:41.193479Z,0.1170027927
phase1_songs01,training_aggregate,train/avg_acc_top5,6000,2026-09-08T08:43:38.582875Z,0.1334323287
phase1_songs01,training_aggregate,train/avg_acc_top5,7000,2026-09-08T08:44:37.614242Z,0.1500553787
phase1_songs01,training_aggregate,train/avg_acc_top5,8000,2026-09-08T08:45:41.177717Z,0.1669228822
