run,best_val_step,activity_band,mask_len_frames,gap_ms,loss,nll,ppl,acc_top1,acc_top5
phase1_songs01,10000,high_activity,1,13.333333333333334,6.599029541015625,6.599029541015625,734.3821411132812,0.0,0.03125
phase1_songs01,10000,high_activity,2,26.666666666666668,6.81719970703125,6.81719970703125,913.423583984375,0.0,0.015625
phase1_songs01,10000,high_activity,3,40.0,6.761627197265625,6.761627197265625,864.0469970703125,0.010416666977107525,0.0260416679084301
phase1_songs01,10000,high_activity,4,53.333333333333336,6.696006774902344,6.696006774902344,809.1681518554688,0.01953125,0.04296875
phase1_songs01,10000,low_activity,1,13.333333333333334,3.2768821716308594,3.2768821716308594,26.493043899536133,0.09375,0.421875
phase1_songs01,10000,low_activity,2,26.666666666666668,3.957063674926758,3.957063674926758,52.30352020263672,0.0703125,0.3671875
phase1_songs01,10000,low_activity,3,40.0,3.52117919921875,3.52117919921875,33.82429122924805,0.0520833358168602,0.3854166865348816
phase1_songs01,10000,low_activity,4,53.333333333333336,3.4893393516540527,3.4893393516540527,32.7642936706543,0.12109375,0.43359375
phase1_songs04,10000,high_activity,1,13.333333333333334,6.47119140625,6.47119140625,646.2532348632812,0.0,0.046875
phase1_songs04,10000,high_activity,2,26.666666666666668,6.5186767578125,6.5186767578125,677.6810302734375,0.0078125,0.0390625
phase1_songs04,10000,high_activity,3,40.0,6.492757320404053,6.492757320404053,660.3416137695312,0.0052083334885537624,0.03125
phase1_songs04,10000,high_activity,4,53.333333333333336,6.4779815673828125,6.4779815673828125,650.6563110351562,0.015625,0.05078125
phase1_songs04,10000,low_activity,1,13.333333333333334,3.2881546020507812,3.2881546020507812,26.793373107910156,0.125,0.53125
phase1_songs04,10000,low_activity,2,26.666666666666668,4.140617370605469,4.140617370605469,62.84160614013672,0.0546875,0.25
phase1_songs04,10000,low_activity,3,40.0,3.6346232891082764,3.6346232891082764,37.887577056884766,0.0625,0.3229166865348816
phase1_songs04,10000,low_activity,4,53.333333333333336,3.5087690353393555,3.5087690353393555,33.40711975097656,0.125,0.45703125
phase1_songs17,950000,high_activity,1,13.333333333333334,6.485221862792969,6.485221862792969,655.3843383789062,0.109375,0.15625
phase1_songs17,950000,high_activity,2,26.666666666666668,6.703845977783203,6.703845977783203,815.5363159179688,0.0390625,0.109375
phase1_songs17,950000,high_activity,3,40.0,6.498570919036865,6.498570919036865,664.1917724609375,0.0416666679084301,0.1197916716337204
phase1_songs17,950000,high_activity,4,53.333333333333336,6.838471412658691,6.838471412658691,933.061767578125,0.0546875,0.09375
phase1_songs17,950000,low_activity,1,13.333333333333334,2.9251365661621094,2.9251365661621094,18.636770248413086,0.203125,0.53125
phase1_songs17,950000,low_activity,2,26.666666666666668,3.4589545726776123,3.4589545726776123,31.78373146057129,0.140625,0.3984375
phase1_songs17,950000,low_activity,3,40.0,3.1014480590820312,3.1014480590820312,22.230117797851562,0.1510416716337204,0.4427083432674408
phase1_songs17,950000,low_activity,4,53.333333333333336,2.9440956115722656,2.9440956115722656,18.99347686767578,0.16796875,0.5859375
