run,best_val_step,activity_band,mask_len_frames,gap_ms,loss,nll,ppl,acc_top1,acc_top5
phase2_regularization,25000,high_activity,1,13.333333333333334,6.484710693359375,6.484710693359375,655.0494384765625,0.015625,0.0625
phase2_regularization,25000,high_activity,2,26.666666666666668,6.7581787109375,6.7581787109375,861.072509765625,0.0,0.0390625
phase2_regularization,25000,high_activity,3,40.0,6.560760498046875,6.560760498046875,706.8090209960938,0.0052083334885537624,0.046875
phase2_regularization,25000,high_activity,4,53.333333333333336,6.416042327880859,6.416042327880859,611.577880859375,0.01953125,0.0546875
phase2_regularization,25000,low_activity,1,13.333333333333334,2.912379026412964,2.912379026412964,18.400522232055664,0.203125,0.515625
phase2_regularization,25000,low_activity,2,26.666666666666668,3.9065208435058594,3.9065208435058594,49.72564697265625,0.0625,0.296875
phase2_regularization,25000,low_activity,3,40.0,3.4201762676239014,3.4201762676239014,30.574804306030273,0.0625,0.375
phase2_regularization,25000,low_activity,4,53.333333333333336,3.489872932434082,3.489872932434082,32.78178024291992,0.11328125,0.41796875
