experiment,run,checkpoint,step,band,mask_len,method,metric,value
exp01_train_region_control,baseline,best_val,20000,high,,holdout,acc_top1,0.009765625
exp01_train_region_control,baseline,best_val,20000,high,,train_region_control,acc_top1,0.2594401054084301
exp01_train_region_control,baseline,best_val,20000,high,,holdout,acc_top5,0.044596354477107525
exp01_train_region_control,baseline,best_val,20000,high,,train_region_control,acc_top5,0.6546224057674408
exp01_train_region_control,baseline,best_val,20000,high,,holdout,loss,7.044631004333496
exp01_train_region_control,baseline,best_val,20000,high,,train_region_control,loss,3.1391795873641968
exp01_train_region_control,baseline,best_val,20000,high,,holdout,ppl,1146.6856357107374
exp01_train_region_control,baseline,best_val,20000,high,,train_region_control,ppl,23.08491992762894
exp01_train_region_control,baseline,best_val,20000,low,,holdout,acc_top1,0.11165364645421505
exp01_train_region_control,baseline,best_val,20000,low,,train_region_control,acc_top1,0.1735026054084301
exp01_train_region_control,baseline,best_val,20000,low,,holdout,acc_top5,0.3756510466337204
exp01_train_region_control,baseline,best_val,20000,low,,train_region_control,acc_top5,0.4635416716337204
exp01_train_region_control,baseline,best_val,20000,low,,holdout,loss,3.639539957046509
exp01_train_region_control,baseline,best_val,20000,low,,train_region_control,loss,3.4975082874298096
exp01_train_region_control,baseline,best_val,20000,low,,holdout,ppl,38.074316874578905
exp01_train_region_control,baseline,best_val,20000,low,,train_region_control,ppl,33.03304048626872
exp01_train_region_control,baseline,best_val,20000,,,training_loop,acc_top1,0.1931818276643753
exp01_train_region_control,baseline,best,78000,high,,holdout,acc_top1,0.0068359375
exp01_train_region_control,baseline,best,78000,high,,train_region_control,acc_top1,0.935546875
exp01_train_region_control,baseline,best,78000,high,,holdout,acc_top5,0.024088541977107525
exp01_train_region_control,baseline,best,78000,high,,train_region_control,acc_top5,0.9680989682674408
exp01_train_region_control,baseline,best,78000,high,,holdout,loss,9.882982969284058
exp01_train_region_control,baseline,best,78000,high,,train_region_control,loss,0.3562804237008095
